Timestamp,2025-09-15 21:05:43
CPU Count (Logical),20
CPU Count (Physical),14
CPU Usage (%),4.6
CPU Times,"{'user': 252275.8125, 'system': 185004.09375, 'idle': 8281874.703125, 'interrupt': 25367.203125, 'dpc': 23469.3125}"
CPU Stats,"{'ctx_switches': 158013854, 'interrupts': 3050004333, 'soft_interrupts': 0, 'syscalls': 2837151448}"
Virtual Memory,"{'total': 34048667648, 'available': 18354782208, 'percent': 46.1, 'used': 15693885440, 'free': 18354782208}"
Swap Memory,"{'total': 2147483648, 'used': 80875520, 'free': 2066608128, 'percent': 3.8, 'sin': 0, 'sout': 0}"
Disk Partitions,"[{'device': 'C:\\', 'mountpoint': 'C:\\', 'fstype': 'NTFS', 'opts': 'rw,fixed'}, {'device': 'D:\\', 'mountpoint': 'D:\\', 'fstype': 'NTFS', 'opts': 'rw,fixed'}]"
Disk Usage (C:),"{'total': 464716296192, 'used': 317741793280, 'free': 146974502912, 'percent': 68.4}"
Disk IO Counters,"{'read_count': 10569803, 'write_count': 11135978, 'read_bytes': 459032516096, 'write_bytes': 361347848704, 'read_time': 4658, 'write_time': 3540}"
Network Interfaces,"{'Ethernet': [{'family': <AddressFamily.AF_LINK: -1>, 'address': 'D8-43-AE-09-D0-00', 'netmask': None, 'broadcast': None, 'ptp': None}, {'family': <AddressFamily.AF_INET: 2>, 'address': '169.254.168.34', 'netmask': '255.255.0.0', 'broadcast': None, 'ptp': None}, {'family': <AddressFamily.AF_INET6: 23>, 'address': 'fe80::805c:716a:f3cc:8854', 'netmask': None, 'broadcast': None, 'ptp': None}], 'Ethernet 2': [{'family': <AddressFamily.AF_LINK: -1>, 'address': '0A-00-27-00-00-09', 'netmask': None, 'broadcast': None, 'ptp': None}, {'family': <AddressFamily.AF_INET: 2>, 'address': '192.168.56.1', 'netmask': '255.255.255.0', 'broadcast': None, 'ptp': None}, {'family': <AddressFamily.AF_INET6: 23>, 'address': 'fe80::de3d:4a03:3daa:633', 'netmask': None, 'broadcast': None, 'ptp': None}], 'Local Area Connection* 2': [{'family': <AddressFamily.AF_LINK: -1>, 'address': '04-EC-D8-6F-9A-F1', 'netmask': None, 'broadcast': None, 'ptp': None}, {'family': <AddressFamily.AF_INET: 2>, 'address': '169.254.211.44', 'netmask': '255.255.0.0', 'broadcast': None, 'ptp': None}, {'family': <AddressFamily.AF_INET6: 23>, 'address': 'fe80::66ab:e5e0:307d:ed8d', 'netmask': None, 'broadcast': None, 'ptp': None}], 'Local Area Connection* 3': [{'family': <AddressFamily.AF_LINK: -1>, 'address': '06-EC-D8-6F-9A-F0', 'netmask': None, 'broadcast': None, 'ptp': None}, {'family': <AddressFamily.AF_INET: 2>, 'address': '169.254.247.46', 'netmask': '255.255.0.0', 'broadcast': None, 'ptp': None}, {'family': <AddressFamily.AF_INET6: 23>, 'address': 'fe80::b511:b7b5:e2f0:5d8d', 'netmask': None, 'broadcast': None, 'ptp': None}], 'Wi-Fi': [{'family': <AddressFamily.AF_LINK: -1>, 'address': '04-EC-D8-6F-9A-F0', 'netmask': None, 'broadcast': None, 'ptp': None}, {'family': <AddressFamily.AF_INET: 2>, 'address': '192.168.8.103', 'netmask': '255.255.255.0', 'broadcast': None, 'ptp': None}, {'family': <AddressFamily.AF_INET6: 23>, 'address': 'fe80::4097:b279:9eda:d456', 'netmask': None, 'broadcast': None, 'ptp': None}], 'Loopback Pseudo-Interface 1': [{'family': <AddressFamily.AF_INET: 2>, 'address': '127.0.0.1', 'netmask': '255.0.0.0', 'broadcast': None, 'ptp': None}, {'family': <AddressFamily.AF_INET6: 23>, 'address': '::1', 'netmask': None, 'broadcast': None, 'ptp': None}]}"
Network Stats,"{'Ethernet': {'isup': False, 'duplex': <NicDuplex.NIC_DUPLEX_FULL: 2>, 'speed': 0, 'mtu': 1500, 'flags': ''}, 'Ethernet 2': {'isup': True, 'duplex': <NicDuplex.NIC_DUPLEX_FULL: 2>, 'speed': 1000, 'mtu': 1500, 'flags': ''}, 'Loopback Pseudo-Interface 1': {'isup': True, 'duplex': <NicDuplex.NIC_DUPLEX_FULL: 2>, 'speed': 1073, 'mtu': 1500, 'flags': ''}, 'Wi-Fi': {'isup': True, 'duplex': <NicDuplex.NIC_DUPLEX_FULL: 2>, 'speed': 77, 'mtu': 1500, 'flags': ''}, 'Local Area Connection* 2': {'isup': False, 'duplex': <NicDuplex.NIC_DUPLEX_FULL: 2>, 'speed': 0, 'mtu': 1500, 'flags': ''}, 'Local Area Connection* 3': {'isup': False, 'duplex': <NicDuplex.NIC_DUPLEX_FULL: 2>, 'speed': 0, 'mtu': 1500, 'flags': ''}}"
Network IO Counters,"{'bytes_sent': 41396442, 'bytes_recv': 858923438, 'packets_sent': 296047, 'packets_recv': 667211, 'errin': 0, 'errout': 0, 'dropin': 0, 'dropout': 0}"
Battery,"{'percent': 80, 'secsleft': <BatteryTime.POWER_TIME_UNLIMITED: -2>, 'power_plugged': True}"
Boot Time,2025-09-01 18:54:45
Users,"[{'name': 'Vihanga OG', 'terminal': None, 'host': None, 'started': 1757925207.725898, 'pid': None}]"
